"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NPENSION","MEN","PC_PRERETEARN","A","2014",58,
"AUT","NPENSION","MEN","PC_PRERETEARN","A","2014",91.6,
"BEL","NPENSION","MEN","PC_PRERETEARN","A","2014",60.9,
"CAN","NPENSION","MEN","PC_PRERETEARN","A","2014",47.9,
"CZE","NPENSION","MEN","PC_PRERETEARN","A","2014",63.8,
"DNK","NPENSION","MEN","PC_PRERETEARN","A","2014",66.4,
"FIN","NPENSION","MEN","PC_PRERETEARN","A","2014",63.5,
"FRA","NPENSION","MEN","PC_PRERETEARN","A","2014",67.7,
"DEU","NPENSION","MEN","PC_PRERETEARN","A","2014",50,
"GRC","NPENSION","MEN","PC_PRERETEARN","A","2014",72.9,
"HUN","NPENSION","MEN","PC_PRERETEARN","A","2014",89.6,
"ISL","NPENSION","MEN","PC_PRERETEARN","A","2014",76.7,
"IRL","NPENSION","MEN","PC_PRERETEARN","A","2014",42.2,
"ITA","NPENSION","MEN","PC_PRERETEARN","A","2014",79.7,
"JPN","NPENSION","MEN","PC_PRERETEARN","A","2014",40.4,
"KOR","NPENSION","MEN","PC_PRERETEARN","A","2014",45,
"LUX","NPENSION","MEN","PC_PRERETEARN","A","2014",88.6,
"MEX","NPENSION","MEN","PC_PRERETEARN","A","2014",28.4,
"NLD","NPENSION","MEN","PC_PRERETEARN","A","2014",95.7,
"NZL","NPENSION","MEN","PC_PRERETEARN","A","2014",43,
"NOR","NPENSION","MEN","PC_PRERETEARN","A","2014",60.2,
"POL","NPENSION","MEN","PC_PRERETEARN","A","2014",52.8,
"PRT","NPENSION","MEN","PC_PRERETEARN","A","2014",89.5,
"SVK","NPENSION","MEN","PC_PRERETEARN","A","2014",80.6,
"ESP","NPENSION","MEN","PC_PRERETEARN","A","2014",89.5,
"SWE","NPENSION","MEN","PC_PRERETEARN","A","2014",55.8,
"CHE","NPENSION","MEN","PC_PRERETEARN","A","2014",46.9,
"TUR","NPENSION","MEN","PC_PRERETEARN","A","2014",104.8,
"GBR","NPENSION","MEN","PC_PRERETEARN","A","2014",28.5,
"USA","NPENSION","MEN","PC_PRERETEARN","A","2014",44.8,
"CHL","NPENSION","MEN","PC_PRERETEARN","A","2014",37.7,
"EST","NPENSION","MEN","PC_PRERETEARN","A","2014",59.8,
"ISR","NPENSION","MEN","PC_PRERETEARN","A","2014",68.8,
"SVN","NPENSION","MEN","PC_PRERETEARN","A","2014",57.4,
"ARG","NPENSION","MEN","PC_PRERETEARN","A","2014",87.5,
"BRA","NPENSION","MEN","PC_PRERETEARN","A","2014",76.4,
"CHN","NPENSION","MEN","PC_PRERETEARN","A","2014",80.5,
"IND","NPENSION","MEN","PC_PRERETEARN","A","2014",109.7,
"IDN","NPENSION","MEN","PC_PRERETEARN","A","2014",13.8,
"RUS","NPENSION","MEN","PC_PRERETEARN","A","2014",86.4,
"SAU","NPENSION","MEN","PC_PRERETEARN","A","2014",65.4,
"ZAF","NPENSION","MEN","PC_PRERETEARN","A","2014",11.8,
"OAVG","NPENSION","MEN","PC_PRERETEARN","A","2014",63.2,
"EU28","NPENSION","MEN","PC_PRERETEARN","A","2014",70.9,
